Scenario;NumProc;NumIterations;ExecutionTime
1;1;160000000;58061
1;1;160000000;51127
1;1;160000000;48197
1;1;160000000;45459
1;1;160000000;45038
1;2;160000000;52471
1;2;160000000;66151
1;2;160000000;58809
1;2;160000000;59012
1;2;160000000;58205
1;4;160000000;59925
1;4;160000000;53479
1;4;160000000;60472
1;4;160000000;61299
1;4;160000000;60565
1;6;160000000;59198
1;6;160000000;61158
1;6;160000000;58937
1;6;160000000;61649
1;6;160000000;57021
1;8;160000000;54826
1;8;160000000;60185
1;8;160000000;59917
1;8;160000000;55295
1;8;160000000;61170
1;12;160000000;62188
1;12;160000000;60257
1;12;160000000;59059
1;12;160000000;61447
1;12;160000000;60432
1;16;160000000;56440
1;16;160000000;60077
1;16;160000000;60983
1;16;160000000;58221
1;16;160000000;58046
2;1;10000000;2749
2;1;10000000;1934
2;1;10000000;2062
2;1;10000000;2260
2;1;10000000;1903
2;2;20000000;6058
2;2;20000000;6072
2;2;20000000;5937
2;2;20000000;5710
2;2;20000000;4921
2;4;40000000;13254
2;4;40000000;11373
2;4;40000000;12387
2;4;40000000;11251
2;4;40000000;12403
2;6;60000000;22426
2;6;60000000;20063
2;6;60000000;19561
2;6;60000000;20302
2;6;60000000;18624
2;8;80000000;33647
2;8;80000000;26956
2;8;80000000;26373
2;8;80000000;24977
2;8;80000000;23616
2;12;120000000;53091
2;12;120000000;46728
2;12;120000000;42640
2;12;120000000;47084
2;12;120000000;41052
2;16;160000000;77162
2;16;160000000;59392
2;16;160000000;59727
2;16;160000000;60716
2;16;160000000;67734
