Scenario;NumProc;NumIterations;ExecutionTime
1;1;160000000;5442
1;1;160000000;5425
1;1;160000000;5588
1;1;160000000;5622
1;1;160000000;5584
1;2;160000000;2823
1;2;160000000;2816
1;2;160000000;2934
1;2;160000000;2923
1;2;160000000;2907
1;4;160000000;1553
1;4;160000000;1523
1;4;160000000;1578
1;4;160000000;1541
1;4;160000000;1564
1;8;160000000;882
1;8;160000000;879
1;8;160000000;878
1;8;160000000;889
1;8;160000000;873
1;16;160000000;704
1;16;160000000;677
1;16;160000000;709
1;16;160000000;706
1;16;160000000;673
2;1;1000000;46
2;1;1000000;37
2;1;1000000;35
2;1;1000000;35
2;1;1000000;37
2;1;10000000;350
2;1;10000000;363
2;1;10000000;378
2;1;10000000;356
2;1;10000000;364
2;1;100000000;3449
2;1;100000000;3389
2;1;100000000;3471
2;1;100000000;3492
2;1;100000000;3488
2;2;2000000;86
2;2;2000000;79
2;2;2000000;72
2;2;2000000;72
2;2;2000000;71
2;2;20000000;731
2;2;20000000;708
2;2;20000000;742
2;2;20000000;729
2;2;20000000;742
2;2;200000000;7075
2;2;200000000;7060
2;2;200000000;7238
2;2;200000000;7244
2;2;200000000;7305
2;4;4000000;177
2;4;4000000;160
2;4;4000000;159
2;4;4000000;156
2;4;4000000;163
2;4;40000000;1565
2;4;40000000;1523
2;4;40000000;1541
2;4;40000000;1559
2;4;40000000;1557
2;4;400000000;15165
2;4;400000000;15091
2;4;400000000;15659
2;4;400000000;15655
2;4;400000000;15574
2;8;8000000;376
2;8;8000000;366
2;8;8000000;361
2;8;8000000;354
2;8;8000000;349
2;8;80000000;3416
2;8;80000000;3407
2;8;80000000;3496
2;8;80000000;3468
2;8;80000000;3447
2;8;800000000;33780
2;8;800000000;33757
2;8;800000000;34522
2;8;800000000;34612
2;8;800000000;34460
2;16;16000000;1084
2;16;16000000;1091
2;16;16000000;1110
2;16;16000000;1078
2;16;16000000;1076
2;16;160000000;10724
2;16;160000000;10503
2;16;160000000;10909
2;16;160000000;10583
2;16;160000000;10359
2;16;1600000000;107621
2;16;1600000000;104358
2;16;1600000000;103050
2;16;1600000000;107815
2;16;1600000000;108458
